발행회차,발행일자,가중평균발행금리,국고채1년,국고채3년,국고채5년,국고채10년,국고채20년,국고채30년
MBS 2022-16,2022-08-05,3.961,2.87,3.08,3.1,3.12,3.1,3.06
MBS 2022-15,2022-07-22,4.046,2.95,3.21,3.29,3.3,3.24,3.16
MBS 2022-14,2022-07-12,4.093,2.99,3.27,3.33,3.34,3.25,3.15
MBS 2022-13,2022-06-28,4.336,2.89,3.56,3.71,3.69,3.6,3.51
MBS 2022-12,2022-06-21,4.246,2.86,3.66,3.84,3.77,3.7,3.57
MBS 2022-11,2022-06-10,4.134,2.33,3.28,3.46,3.49,3.4,3.27
MBS 2022-10,2022-05-24,3.929,2.1,2.96,3.14,3.2,3.21,3.12
MBS 2022-09,2022-05-13,3.997,1.97,2.92,3.13,3.23,3.2,3.12
MBS 2022-08,2022-04-26,3.904,1.95,2.83,3.08,3.18,3.18,3.13
MBS 2022-07,2022-04-19,3.877,1.99,2.96,3.19,3.33,3.28,3.21
MBS 2022-06,2022-04-08,3.726,2.09,3,3.12,3.18,3.15,3.06
MBS 2022-05,2022-03-29,3.422,1.81,2.69,2.88,2.95,2.97,2.83
MBS 2022-04,2022-03-15,3.226,1.52,2.28,2.53,2.75,2.75,2.66
MBS 2022-03,2022-02-22,3.15,1.51,2.33,2.52,2.72,2.72,2.63
MBS 2022-02,2022-02-11,3.142,1.47,2.35,2.55,2.74,2.71,2.66
MBS 2022-01,2022-01-21,2.81,1.44,2.14,2.36,2.54,2.54,2.48
MBS 2021-26,2021-12-14,2.459,1.31,1.79,1.98,2.17,2.25,2.23
MBS 2021-25,2021-12-03,2.416,1.33,1.9,2.03,2.24,2.25,2.23
MBS 2021-24,2021-11-19,2.491,1.28,1.97,2.19,2.38,2.37,2.34
MBS 2021-23,2021-10-22,2.468,1.19,1.9,2.22,2.41,2.39,2.31
MBS 2021-22,2021-10-15,0,1.13,1.79,2.11,2.36,2.33,2.28
MBS 2021-21,2021-09-17,1.875,1.08,1.53,1.79,2.07,2.08,2.07
MBS 2021-20,2021-09-03,2.036,1.03,1.44,1.7,1.94,1.99,1.96
MBS 2021-19,2021-08-27,0,1.08,1.41,1.67,1.94,2,1.99
MBS 2021-18,2021-08-20,2.073,1.01,1.36,1.6,1.85,1.93,1.92
MBS 2021-17,2021-08-06,2.049,0.99,1.44,1.67,1.9,1.94,1.94
MBS 2021-16,2021-07-23,2.09,0.93,1.39,1.64,1.88,1.96,1.96
MBS 2021-15,2021-07-09,2.155,0.85,1.37,1.69,2.04,2.1,2.09
MBS 2021-14,2021-06-25,2.163,0.93,1.44,1.77,2.1,2.2,2.2
MBS 2021-13,2021-06-15,2.169,0.88,1.31,1.7,2.08,2.17,2.16
MBS 2021-12,2021-05-25,2.16,0.57,1.14,1.66,2.13,2.27,2.27
MBS 2021-11,2021-05-14,2.24,0.59,1.11,1.65,2.16,2.26,2.25
MBS 2021-10,2021-05-07,2.184,0.6,1.13,1.64,2.12,2.24,2.24
MBS 2021-09,2021-04-23,2.068,0.64,1.12,1.58,2.05,2.14,2.13
MBS 2021-08,2021-04-13,2.109,0.65,1.13,1.56,2.03,2.13,2.13
MBS 2021-07,2021-04-02,2.098,0.68,1.15,1.57,2.05,2.19,2.18
MBS 2021-06,2021-03-26,2.033,0.69,1.13,1.54,2.01,2.09,2.07
MBS 2021-05,2021-03-12,2.044,0.7,1.23,1.61,2.11,2.17,2.17
MBS 2021-04,2021-02-19,1.893,0.63,1,1.35,1.88,2.01,2.02
MBS 2021-03,2021-02-05,1.716,0.62,0.98,1.31,1.78,1.93,1.94
MBS 2021-02,2021-01-22,1.696,0.66,0.99,1.33,1.76,1.87,1.87
MBS 2021-01,2021-01-15,1.7,0.64,0.97,1.31,1.73,1.83,1.83
MBS 2020-39,2020-12-11,1.712,0.57,0.98,1.31,1.66,1.76,1.77
MBS 2020-38,2020-12-04,1.724,0.57,0.97,1.34,1.66,1.76,1.75
MBS 2020-37,2020-11-24,1.704,0.61,0.96,1.29,1.6,1.7,1.7
MBS 2020-36,2020-11-17,1.643,0.64,0.96,1.3,1.62,1.74,1.74
MBS 2020-35,2020-11-10,1.618,0.63,0.98,1.31,1.63,1.74,1.74
MBS 2020-34,2020-10-27,1.608,0.62,0.92,1.21,1.51,1.64,1.66
MBS 2020-33,2020-10-20,1.607,0.63,0.91,1.18,1.47,1.61,1.62
MBS 2020-32,2020-10-13,1.546,0.63,0.92,1.21,1.52,1.62,1.62
