GDP
"222,334.9"
"226,266.9"
"228,855.3"
"230,982.2"
"233,239.4"
"237,019.1"
"241,872.5"
"245,316.7"
"246,614.4"
"248,152.7"
"253,912.6"
"256,921.7"
"263,441.3"
"269,569.3"
"274,329.9"
"282,319.7"
"283,234.3"
"290,039.1"
"293,765.3"
"287,177.8"
"289,784.1"
"298,340.2"
"307,751.3"
"309,472.2"
"320,326.5"
"329,462.5"
"333,669.4"
"339,152.8"
"340,957.3"
"343,885.9"
"348,648.5"
"355,445.5"
"357,741.4"
"358,200.5"
"359,965.8"
"364,203.7"
"368,435.7"
"373,118.7"
"377,743.4"
"381,521.3"
"387,113.9"
"388,610.5"
"390,535.4"
"396,669.2"
"408,684.6"
"411,777.9"
"417,096.4"
"420,461.5"
"429,164.5"
"435,019.8"
"434,707.3"
"441,888"
"450,590.5"
"454,357.1"
"467,730.3"
"463,020.3"
"468,070.4"
"472,615.9"
"479,430.9"
"478,075.4"
"474,926.7"
"480,818.3"
"482,306.9"
"486,446.1"
"480,212.7"
"475,812.9"
"489,772.8"
"494,927.7"
"504,874.5"
"514,696.4"
"521,818.2"
"530,268.9"
"532,765.7"
