발행회차,발행일자,기준월,평균 LTV,평균 DTI,조기상환율
KHFCMB2022S-13,2022-06-28,2022-06,58.81,27.63,0.2359
KHFCMB2022S-12,2022-06-21,2022-06,64.02,32.01,0.2903
KHFCMB2022S-11,2022-06-10,2022-06,60.47,29.01,0.2994
KHFCMB2022S-10,2022-05-24,2022-06,59.84,29.35,0.3491
KHFCMB2022S-10,2022-05-24,2022-05,59.81,29.34,0.2421
KHFCMB2022S-09,2022-05-13,2022-06,61.44,29.19,0.2224
KHFCMB2022S-09,2022-05-13,2022-05,61.42,29.19,0.1486
KHFCMB2022S-08,2022-04-26,2022-06,60.91,28.41,0.2182
KHFCMB2022S-08,2022-04-26,2022-05,60.89,28.43,0.1917
KHFCMB2022S-08,2022-04-26,2022-04,60.89,28.44,0.3003
KHFCMB2022S-07,2022-04-19,2022-06,60.34,29.55,0.3093
KHFCMB2022S-07,2022-04-19,2022-05,60.32,29.54,0.259
KHFCMB2022S-07,2022-04-19,2022-04,60.32,29.55,0.4167
KHFCMB2022S-06,2022-04-08,2022-06,60.57,28.12,0.114
KHFCMB2022S-06,2022-04-08,2022-05,60.57,28.12,0.0997
KHFCMB2022S-06,2022-04-08,2022-04,60.56,28.13,0.2111
KHFCMB2022S-05,2022-03-29,2022-06,61.56,28.08,0.1273
KHFCMB2022S-05,2022-03-29,2022-05,61.54,28.09,0.1331
KHFCMB2022S-05,2022-03-29,2022-04,61.53,28.08,0.1463
KHFCMB2022S-05,2022-03-29,2022-03,61.52,28.09,0.0362
KHFCMB2022S-04,2022-03-15,2022-06,61.14,28.72,0.1651
KHFCMB2022S-04,2022-03-15,2022-05,61.13,28.72,0.0997
KHFCMB2022S-04,2022-03-15,2022-04,61.13,28.72,0.3287
KHFCMB2022S-04,2022-03-15,2022-03,61.11,28.74,0.3061
KHFCMB2022S-03,2022-02-22,2022-06,60.35,28.14,0.1258
KHFCMB2022S-03,2022-02-22,2022-05,60.34,28.15,0.1579
KHFCMB2022S-03,2022-02-22,2022-04,60.33,28.15,0.1823
KHFCMB2022S-03,2022-02-22,2022-03,60.32,28.14,0.2912
KHFCMB2022S-03,2022-02-22,2022-02,60.32,28.15,0.1506
KHFCMB2022S-02,2022-02-11,2022-06,59.28,27.83,0.2331
KHFCMB2022S-02,2022-02-11,2022-05,59.27,27.83,0.2138
KHFCMB2022S-02,2022-02-11,2022-04,59.25,27.83,0.1563
KHFCMB2022S-02,2022-02-11,2022-03,59.25,27.83,0.1775
KHFCMB2022S-02,2022-02-11,2022-02,59.24,27.84,0.2133
KHFCMB2022S-01,2022-01-21,2022-06,59.35,27.74,0.117
