,발행회차,기준월,만기전상환율,발행일자_y,가중평균발행금리
0,MBS 2004-01,2004-06,0.51,2004-06-15,5.04
1,MBS 2004-01,2004-07,0.36,2004-06-15,5.04
2,MBS 2004-01,2004-08,0.42,2004-06-15,5.04
3,MBS 2004-01,2004-09,0.29,2004-06-15,5.04
4,MBS 2004-01,2004-10,0.42,2004-06-15,5.04
5,MBS 2004-01,2004-11,0.6,2004-06-15,5.04
6,MBS 2004-01,2004-12,0.7,2004-06-15,5.04
7,MBS 2004-01,2005-01,0.91,2004-06-15,5.04
8,MBS 2004-01,2005-02,0.95,2004-06-15,5.04
9,MBS 2004-01,2005-03,1.27,2004-06-15,5.04
10,MBS 2004-01,2005-04,1.9,2004-06-15,5.04
11,MBS 2004-01,2005-05,2.52,2004-06-15,5.04
12,MBS 2004-01,2005-06,2.3,2004-06-15,5.04
13,MBS 2004-01,2005-07,1.96,2004-06-15,5.04
14,MBS 2004-01,2005-08,1.75,2004-06-15,5.04
15,MBS 2004-01,2005-09,1.97,2004-06-15,5.04
16,MBS 2004-01,2005-10,1.36,2004-06-15,5.04
17,MBS 2004-01,2005-11,1.63,2004-06-15,5.04
18,MBS 2004-01,2005-12,1.55,2004-06-15,5.04
19,MBS 2004-01,2006-01,1.26,2004-06-15,5.04
20,MBS 2004-01,2006-02,1.87,2004-06-15,5.04
21,MBS 2004-01,2006-03,1.98,2004-06-15,5.04
22,MBS 2004-01,2006-04,2.47,2004-06-15,5.04
23,MBS 2004-01,2006-05,2.56,2004-06-15,5.04
24,MBS 2004-01,2006-06,2.5,2004-06-15,5.04
25,MBS 2004-01,2006-07,1.8,2004-06-15,5.04
26,MBS 2004-01,2006-08,1.55,2004-06-15,5.04
27,MBS 2004-01,2006-09,1.86,2004-06-15,5.04
28,MBS 2004-01,2006-10,2.57,2004-06-15,5.04
29,MBS 2004-01,2006-11,3.21,2004-06-15,5.04
30,MBS 2004-01,2006-12,2.86,2004-06-15,5.04
31,MBS 2004-01,2007-01,1.8,2004-06-15,5.04
32,MBS 2004-01,2007-02,1.69,2004-06-15,5.04
33,MBS 2004-01,2007-03,1.18,2004-06-15,5.04
34,MBS 2004-01,2007-04,2.12,2004-06-15,5.04
35,MBS 2004-01,2007-05,2.53,2004-06-15,5.04
36,MBS 2004-01,2007-06,2.3,2004-06-15,5.04
37,MBS 2004-01,2007-07,1.95,2004-06-15,5.04
38,MBS 2004-01,2007-08,1.63,2004-06-15,5.04
39,MBS 2004-01,2007-09,1.11,2004-06-15,5.04
40,MBS 2004-01,2007-10,2.55,2004-06-15,5.04
41,MBS 2004-01,2007-11,1.93,2004-06-15,5.04
42,MBS 2004-01,2007-12,1.93,2004-06-15,5.04
43,MBS 2004-01,2008-01,1.49,2004-06-15,5.04
44,MBS 2004-01,2008-02,1.77,2004-06-15,5.04
45,MBS 2004-01,2008-03,2.01,2004-06-15,5.04
46,MBS 2004-01,2008-04,2.1,2004-06-15,5.04
47,MBS 2004-01,2008-05,2.01,2004-06-15,5.04
48,MBS 2004-01,2008-06,2.33,2004-06-15,5.04
49,MBS 2004-01,2008-07,2.04,2004-06-15,5.04
50,MBS 2004-01,2008-08,1.6,2004-06-15,5.04
51,MBS 2004-01,2008-09,1.27,2004-06-15,5.04
52,MBS 2004-01,2008-10,1.04,2004-06-15,5.04
