발행회차,발행일자,가중평균발행금리
MBS 2004-01,2004-06-15,5.04
MBS 2004-02,2004-07-28,5.0
MBS 2004-03,2004-08-18,4.5
MBS 2004-04,2004-09-23,4.26
MBS 2004-05,2004-10-28,4.2
MBS 2004-06,2004-11-30,4.09
MBS 2004-07,2004-12-28,4.06
MBS 2005-01,2005-02-24,5.18
MBS 2005-02,2005-03-23,4.84
MBS 2005-03,2005-04-28,4.71
MBS 2005-04,2005-05-25,4.41
MBS 2005-05,2005-06-27,4.72
MBS 2005-06,2005-07-27,4.89
MBS 2005-07,2005-08-30,5.16
MBS 2005-08,2005-09-29,5.56
MBS 2005-09,2005-11-10,5.87
MBS 2006-01,2006-01-26,5.72
MBS 2006-02,2006-03-30,5.62
MBS 2006-03,2006-07-14,5.4
MBS 2006-04,2006-09-26,5.02
MBS 2006-05,2006-12-15,5.09
MBS 2007-01,2007-02-21,5.17
MBS 2007-02,2007-04-24,5.27
MBS 2007-03,2007-07-11,5.7
MBS 2007-04,2007-08-23,5.52
MBS 2007-05,2007-09-20,5.73
MBS 2007-06,2007-10-25,5.86
MBS 2008-01,2008-02-26,5.66
MBS 2008-02,2008-03-07,5.46
MBS 2008-03,2008-03-27,5.88
MBS 2008-04,2008-04-15,5.81
MBS 2008-05,2008-05-06,5.75
MBS 2008-06,2008-05-27,6.26
MBS 2008-07,2008-06-13,6.64
MBS 2009-01,2009-03-20,5.71
MBS 2009-02,2009-03-30,0.0
MBS 2009-03,2009-04-22,0.0
MBS 2009-04,2009-04-29,5.22
MBS 2009-05,2009-06-30,0.0
MBS 2009-06,2009-07-07,5.51
MBS 2009-07,2009-09-21,3.82
MBS 2009-08,2009-09-15,5.69
MBS 2009-09,2009-09-29,3.76
MBS 2009-10,2009-10-16,5.59
MBS 2009-11,2009-11-10,5.64
MBS 2009-12,2009-11-20,5.53
MBS 2009-13,2009-12-23,0.0
MBS 2009-14,2009-12-18,5.32
MBS 2010-01,2010-01-28,5.39
MBS 2010-02,2010-02-25,5.29
MBS 2010-03,2010-03-30,4.94
MBS 2010-04,2010-04-23,4.97
MBS 2010-05,2010-06-17,5.01
MBS 2010-06,2010-06-24,0.0
MBS 2010-07,2010-07-08,4.98
MBS 2010-08,2010-08-26,0.0
MBS 2010-09,2010-07-30,4.95
MBS 2010-10,2010-08-26,4.62
MBS 2010-11,2010-09-07,3.08
MBS 2010-12,2010-09-29,4.36
MBS 2010-13,2010-10-28,4.29
MBS 2010-14,2010-11-19,3.24
MBS 2010-15,2010-11-29,4.45
MBS 2010-16,2010-12-23,4.49
MBS 2010-17,2010-12-07,4.36
MBS 2010-18,2010-12-23,0.0
MBS 2011-01,2011-01-28,4.76
MBS 2011-02,2011-02-17,4.78
MBS 2011-03,2011-03-29,4.48
MBS 2011-04,2011-04-13,4.5
MBS 2011-05,2011-04-26,3.71
MBS 2011-06,2011-04-28,0.0
MBS 2011-07,2011-05-06,4.47
MBS 2011-08,2011-05-30,4.26
MBS 2011-09,2011-06-24,4.28
MBS 2011-10,2011-07-19,4.25
MBS 2011-11,2011-07-28,4.32
MBS 2011-12,2011-08-30,4.08
MBS 2011-13,2011-09-08,3.9
MBS 2011-14,2011-09-29,4.08
MBS 2011-15,2011-10-28,0.0
MBS 2011-16,2011-10-25,4.14
MBS 2011-17,2011-11-14,3.66
MBS 2011-18,2011-11-24,4.03
MBS 2011-19,2011-11-24,4.05
MBS 2011-20,2011-12-29,0.0
MBS 2011-21,2011-12-23,4.05
MBS 2012-01,2012-02-02,3.96
MBS 2012-02,2012-02-23,3.99
MBS 2012-03,2012-03-13,3.98
MBS 2012-04,2012-03-27,0.0
MBS 2012-05,2012-04-13,3.97
MBS 2012-06,2012-04-23,3.9
MBS 2012-07,2012-05-15,3.79
MBS 2012-08,2012-05-22,3.78
MBS 2012-09,2012-05-29,3.78
MBS 2012-10,2012-06-12,3.68
MBS 2012-11,2012-06-22,0.0
MBS 2012-12,2012-06-22,0.0
MBS 2012-13,2012-06-28,3.78
MBS 2012-14,2012-06-21,3.75
MBS 2012-15,2012-07-05,3.83
MBS 2012-16,2012-07-19,3.5
MBS 2012-17,2012-07-12,3.76
MBS 2012-18,2012-07-26,3.28
MBS 2012-19,2012-08-02,3.27
MBS 2012-20,2012-08-09,3.17
MBS 2012-21,2012-08-17,3.23
MBS 2012-22,2012-09-06,3.12
MBS 2012-23,2012-08-30,3.18
MBS 2012-24,2012-09-20,3.22
MBS 2012-25,2012-09-13,3.14
MBS 2012-26,2012-09-25,0.0
MBS 2012-27,2012-09-25,0.0
MBS 2012-28,2012-09-27,3.16
MBS 2012-29,2012-10-11,3.11
MBS 2012-30,2012-10-18,3.11
MBS 2012-31,2012-10-25,3.16
MBS 2012-32,2012-11-01,3.12
MBS 2012-33,2012-11-08,3.11
MBS 2012-34,2012-11-15,3.08
MBS 2012-35,2012-11-22,3.11
MBS 2012-36,2012-11-26,0.0
MBS 2012-37,2012-11-28,0.0
MBS 2012-38,2012-11-28,0.0
MBS 2012-39,2012-11-29,3.2
MBS 2012-40,2012-11-27,3.16
MBS 2012-41,2012-12-13,3.24
MBS 2013-01,2013-01-10,3.15
MBS 2013-02,2013-01-17,3.08
MBS 2013-03,2013-01-24,3.09
MBS 2013-04,2013-01-31,3.08
MBS 2013-05,2013-02-07,3.16
MBS 2013-06,2013-02-15,3.12
MBS 2013-07,2013-02-21,3.12
MBS 2013-08,2013-02-28,3.07
MBS 2013-09,2013-03-14,3.03
MBS 2013-10,2013-03-20,0.0
MBS 2013-11,2013-03-20,0.0
MBS 2013-12,2013-03-22,0.0
MBS 2013-13,2013-04-05,0.0
MBS 2013-14,2013-04-04,2.88
MBS 2013-15,2013-04-11,2.89
MBS 2013-16,2013-04-18,3.01
MBS 2013-17,2013-04-25,2.97
MBS 2013-18,2013-05-09,2.92
MBS 2013-19,2013-05-16,2.97
MBS 2013-20,2013-05-30,3.0
MBS 2013-21,2013-06-13,3.21
MBS 2013-22,2013-06-20,3.24
MBS 2013-23,2013-07-23,3.51
MBS 2013-24,2013-07-04,0.0
MBS 2013-25,2013-07-11,3.59
MBS 2013-26,2013-07-18,3.48
MBS 2013-27,2013-07-29,3.52
MBS 2013-28,2013-08-08,3.51
MBS 2013-29,2013-08-16,3.52
MBS 2013-30,2013-08-22,3.59
MBS 2013-31,2013-09-12,3.57
MBS 2013-32,2013-09-27,3.41
MBS 2013-33,2013-09-25,0.0
MBS 2013-34,2013-10-10,3.42
MBS 2013-35,2013-10-17,3.52
MBS 2013-36,2013-11-14,3.55
MBS 2013-38,2013-11-26,0.0
MBS 2013-40,2013-11-28,3.62
MBS 2014-01,2014-01-09,3.6
MBS 2014-02,2014-01-16,3.63
MBS 2014-03,2014-01-23,3.55
MBS 2014-04,2014-01-24,0.0
MBS 2014-05,2014-02-13,3.46
MBS 2014-06,2014-03-06,3.45
MBS 2014-07,2014-03-21,0.0
MBS 2014-08,2014-03-20,3.48
MBS 2014-09,2014-04-24,3.45
MBS 2014-10,2014-05-22,3.29
MBS 2014-11,2014-06-26,3.11
MBS 2014-12,2014-07-24,2.91
MBS 2014-13,2014-08-28,2.99
MBS 2014-14,2014-08-29,0.0
MBS 2014-15,2014-09-18,2.82
MBS 2014-16,2014-10-02,2.68
MBS 2014-17,2014-10-16,2.6
MBS 2014-18,2014-11-06,2.41
MBS 2014-19,2014-11-20,2.51
MBS 2014-20,2014-12-04,2.37
MBS 2014-21,2014-12-18,2.52
MBS 2014-22,2014-12-19,0.0
MBS 2015-01,2015-01-08,2.46
MBS 2015-02,2015-01-22,2.29
MBS 2015-03,2015-02-05,2.17
MBS 2015-04,2015-03-05,2.25
MBS 2015-05,2015-03-19,2.15
MBS 2015-06,2015-04-02,1.98
MBS 2015-07,2015-04-16,1.98
MBS 2015-08,2015-04-29,0.0
MBS 2015-09,2015-05-12,2.53
MBS 2015-10,2015-05-26,2.5
MBS 2015-11,2015-06-02,2.39
MBS 2015-12,2015-06-09,2.47
MBS 2015-13,2015-06-16,2.49
MBS 2015-14,2015-06-23,2.48
MBS 2015-15,2015-06-30,2.49
MBS 2015-16,2015-07-07,2.5
MBS 2015-17,2015-07-24,2.18
MBS 2015-18,2015-08-07,2.26
MBS 2015-19,2015-08-17,0.0
MBS 2015-20,2015-08-21,2.17
MBS 2015-21,2015-09-04,2.13
MBS 2015-22,2015-09-18,2.12
MBS 2015-23,2015-10-12,1.97
MBS 2015-24,2015-10-23,2.01
MBS 2015-25,2015-11-06,2.08
MBS 2015-26,2015-11-20,2.29
MBS 2015-27,2015-12-04,2.29
MBS 2015-28,2015-12-11,2.27
MBS 2016-01,2016-01-08,2.078
MBS 2016-02,2016-01-20,0.0
MBS 2016-03,2016-01-22,2.059
MBS 2016-04,2016-02-04,1.933
MBS 2016-05,2016-02-19,1.892
MBS 2016-06,2016-03-04,1.913
MBS 2016-07,2016-03-18,1.93
MBS 2016-08,2016-04-08,1.799
MBS 2016-09,2016-04-22,1.796
MBS 2016-10,2016-05-10,1.721
MBS 2016-11,2016-05-20,1.728
MBS 2016-12,2016-06-03,1.742
MBS 2016-13,2016-06-24,1.654
MBS 2016-14,2016-07-08,1.506
MBS 2016-15,2016-07-22,1.524
MBS 2016-16,2016-08-05,1.542
MBS 2016-17,2016-08-19,1.606
MBS 2016-18,2016-08-25,0.0
MBS 2016-19,2016-09-02,1.685
MBS 2016-20,2016-09-27,1.758
MBS 2016-21,2016-10-07,1.716
MBS 2016-22,2016-10-21,1.842
MBS 2016-23,2016-11-04,1.966
MBS 2016-24,2016-11-18,2.287
MBS 2016-25,2016-11-25,2.472
MBS 2016-26,2016-12-02,2.277
MBS 2016-27,2016-12-20,2.293
MBS 2016-28,2016-12-23,2.239
MBS 2016-29,2016-12-26,2.282
MBS 2017-01,2017-01-06,2.136
MBS 2017-02,2017-01-20,2.136
MBS 2017-03,2017-02-06,2.218
MBS 2017-04,2017-02-17,2.208
MBS 2017-05,2017-03-10,2.332
MBS 2017-06,2017-03-15,0.0
MBS 2017-07,2017-03-24,2.24
MBS 2017-08,2017-03-30,2.217
MBS 2017-09,2017-04-07,2.217
MBS 2017-10,2017-04-21,2.242
MBS 2017-11,2017-04-27,2.454
MBS 2017-12,2017-05-16,2.352
MBS 2017-13,2017-05-26,2.315
MBS 2017-14,2017-06-09,2.23
MBS 2017-15,2017-06-23,2.195
MBS 2017-16,2017-07-07,2.31
MBS 2017-17,2017-07-21,2.311
MBS 2017-18,2017-07-27,2.358
MBS 2017-19,2017-08-11,2.35
MBS 2017-20,2017-08-25,2.352
MBS 2017-21,2017-08-29,0.0
MBS 2017-22,2017-09-08,2.328
MBS 2017-23,2017-09-22,2.313
MBS 2017-24,2017-09-26,0.0
MBS 2017-25,2017-10-17,2.482
MBS 2017-26,2017-10-27,2.656
MBS 2017-27,2017-11-10,2.709
MBS 2017-28,2017-11-24,2.714
MBS 2017-29,2017-12-08,2.63
MBS 2017-30,2017-12-22,2.628
MBS 2018-01,2018-01-12,2.768
MBS 2018-02,2018-01-26,2.733
MBS 2018-03,2018-02-09,2.81
MBS 2018-04,2018-02-23,2.943
MBS 2018-05,2018-03-09,2.831
MBS 2018-06,2018-03-23,2.805
MBS 2018-07,2018-03-27,0.0
MBS 2018-08,2018-04-06,2.712
MBS 2018-09,2018-04-20,2.726
MBS 2018-10,2018-04-27,2.913
MBS 2018-11,2018-05-11,2.856
MBS 2018-12,2018-05-23,2.877
MBS 2018-13,2018-05-29,2.79
MBS 2018-14,2018-06-12,2.789
MBS 2018-15,2018-06-22,2.74
MBS 2018-16,2018-06-28,2.757
MBS 2018-17,2018-07-17,2.614
MBS 2018-18,2018-07-27,2.613
MBS 2018-19,2018-08-10,2.593
MBS 2018-20,2018-08-24,2.416
MBS 2018-21,2018-09-07,2.342
MBS 2018-22,2018-09-13,2.255
MBS 2018-23,2018-09-21,2.413
MBS 2018-24,2018-10-16,2.514
MBS 2018-25,2018-10-18,0.0
MBS 2018-26,2018-10-26,2.493
MBS 2018-27,2018-11-16,2.446
MBS 2018-28,2018-11-27,2.396
MBS 2018-29,2018-12-07,2.255
MBS 2018-30,2018-12-14,2.208
MBS 2018-31,2018-12-26,2.224
MBS 2019-01,2019-01-04,0.0
MBS 2019-02,2019-01-11,2.217
MBS 2019-03,2019-01-29,2.17
MBS 2019-04,2019-02-15,2.147
MBS 2019-05,2019-02-22,2.145
MBS 2019-06,2019-03-08,2.19
MBS 2019-07,2019-03-22,2.102
MBS 2019-08,2019-04-05,1.94
MBS 2019-09,2019-04-23,1.992
MBS 2019-10,2019-05-10,1.98
MBS 2019-11,2019-05-24,1.88
MBS 2019-12,2019-06-14,1.689
MBS 2019-13,2019-06-25,1.636
MBS 2019-14,2019-07-26,1.525
MBS 2019-15,2019-08-09,1.374
MBS 2019-16,2019-08-23,1.361
MBS 2019-17,2019-09-06,1.588
MBS 2019-18,2019-09-24,1.794
MBS 2019-19,2019-10-15,1.697
MBS 2019-20,2019-10-25,1.901
MBS 2019-21,2019-11-08,2.022
MBS 2019-22,2019-11-15,0.0
MBS 2019-23,2019-11-19,1.938
MBS 2019-24,2019-11-26,1.925
MBS 2019-25,2019-12-06,1.834
MBS 2019-26,2019-12-20,1.728
MBS 2019-27,2019-12-24,1.801
MBS 2019-28,2019-12-27,1.812
MBS 2020-01,2020-01-10,1.769
MBS 2020-02,2020-01-17,1.847
MBS 2020-03,2020-01-21,1.879
MBS 2020-04,2020-02-04,1.723
MBS 2020-05,2020-02-14,1.737
MBS 2020-06,2020-02-21,1.642
MBS 2020-07,2020-03-06,1.482
MBS 2020-08,2020-03-13,1.474
MBS 2020-09,2020-04-03,1.719
MBS 2020-10,2020-04-14,1.701
MBS 2020-11,2020-04-21,1.63
MBS 2020-12,2020-04-28,1.759
MBS 2020-13,2020-05-12,1.652
MBS 2020-14,2020-05-15,1.754
MBS 2020-15,2020-05-19,1.665
MBS 2020-16,2020-05-22,1.73
MBS 2020-17,2020-05-26,1.654
MBS 2020-18,2020-06-09,1.664
MBS 2020-19,2020-06-16,1.632
MBS 2020-20,2020-06-23,1.71
MBS 2020-21,2020-06-26,1.681
MBS 2020-22,2020-07-03,1.812
MBS 2020-23,2020-07-10,1.799
MBS 2020-24,2020-07-21,1.588
MBS 2020-25,2020-07-28,1.484
MBS 2020-26,2020-08-07,1.543
MBS 2020-27,2020-08-14,1.537
MBS 2020-28,2020-08-21,1.455
MBS 2020-29,2020-09-04,1.661
MBS 2020-30,2020-09-15,1.54
MBS 2020-31,2020-09-22,1.587
MBS 2020-32,2020-10-13,1.546
MBS 2020-33,2020-10-20,1.607
MBS 2020-34,2020-10-27,1.608
MBS 2020-35,2020-11-10,1.618
MBS 2020-36,2020-11-17,1.643
MBS 2020-37,2020-11-24,1.704
MBS 2020-38,2020-12-04,1.724
MBS 2020-39,2020-12-11,1.712
MBS 2021-01,2021-01-15,1.7
MBS 2021-02,2021-01-22,1.696
MBS 2021-03,2021-02-05,1.716
MBS 2021-04,2021-02-19,1.893
MBS 2021-05,2021-03-12,2.044
MBS 2021-06,2021-03-26,2.033
MBS 2021-07,2021-04-02,2.098
MBS 2021-08,2021-04-13,2.109
MBS 2021-09,2021-04-23,2.068
MBS 2021-10,2021-05-07,2.184
MBS 2021-11,2021-05-14,2.24
MBS 2021-12,2021-05-25,2.16
MBS 2021-13,2021-06-15,2.169
MBS 2021-14,2021-06-25,2.163
MBS 2021-15,2021-07-09,2.155
MBS 2021-16,2021-07-23,2.09
MBS 2021-17,2021-08-06,2.049
MBS 2021-18,2021-08-20,2.073
MBS 2021-19,2021-08-27,0.0
MBS 2021-20,2021-09-03,2.036
MBS 2021-21,2021-09-17,1.875
MBS 2021-22,2021-10-15,0.0
MBS 2021-23,2021-10-22,2.468
MBS 2021-24,2021-11-19,2.491
