index,15세 이상,15-19,20-29,30-39,40-49,50-59,60세 이상,15-64,15-24,15-29
2004-01,912,67,413,195,140,70,28,904,290,480
2004-02,955,48,434,199,160,84,30,946,275,483
2004-03,934,46,412,190,177,83,27,926,272,458
2004-04,865,32,369,206,148,82,29,856,232,402
2004-05,833,29,381,181,139,74,30,820,230,409
2004-06,803,51,351,179,126,70,26,794,237,401
2004-07,867,58,349,206,150,77,27,858,239,406
2004-08,849,29,343,211,161,78,27,842,196,372
2004-09,791,24,321,203,145,72,26,784,179,345
2004-10,809,28,346,203,137,72,23,801,193,375
2004-11,821,31,348,196,145,77,24,813,188,379
2004-12,900,61,381,212,143,83,21,894,255,442
2005-01,984,74,393,225,179,86,27,979,282,467
2005-02,993,40,411,233,186,96,27,983,259,451
2005-03,959,38,395,220,181,96,29,949,234,433
2005-04,904,27,370,217,164,95,30,896,213,398
2005-05,852,27,336,198,161,86,45,840,184,363
2005-06,876,38,340,193,165,92,47,864,212,378
2005-07,885,51,366,183,162,86,37,875,245,417
2005-08,841,22,334,208,158,93,27,832,172,355
2005-09,867,17,320,242,159,102,28,858,164,337
2005-10,869,16,327,230,177,89,30,861,168,343
2005-11,785,17,330,201,135,78,25,775,173,346
2005-12,832,40,343,202,141,83,24,823,222,382
2006-01,877,39,353,206,156,96,27,867,225,392
2006-02,961,31,388,223,167,107,43,947,233,420
2006-03,931,18,385,229,174,87,39,922,212,403
2006-04,851,14,360,183,164,89,40,843,180,375
2006-05,789,14,325,174,148,85,45,774,159,339
2006-06,823,31,343,185,153,72,40,808,180,373
2006-07,834,32,363,182,151,70,37,821,205,394
2006-08,816,14,332,201,161,76,32,808,168,345
2006-09,777,15,322,203,141,68,28,769,165,337
2006-10,801,24,348,188,139,72,29,796,174,373
2006-11,777,21,329,187,134,75,31,771,156,350
2006-12,793,35,333,175,136,88,27,788,184,368
2007-01,863,28,327,220,154,96,40,853,181,354
2007-02,869,28,337,217,156,91,41,856,172,364
2007-03,847,17,322,228,146,91,43,833,161,338
2007-04,824,15,334,220,138,88,29,814,164,349
2007-05,786,13,308,208,127,93,36,773,140,321
2007-06,782,19,313,200,128,93,30,774,142,331
2007-07,802,41,321,190,129,86,36,793,179,361
2007-08,765,24,285,205,143,76,32,760,135,309
2007-09,728,15,299,187,127,71,30,723,130,313
2007-10,738,13,280,195,128,84,38,727,116,293
2007-11,737,16,306,182,127,72,34,729,129,322
2007-12,741,25,301,183,126,73,34,732,138,326
2008-01,780,31,295,198,146,77,32,771,156,326
2008-02,829,16,316,197,173,82,46,810,149,332
2008-03,819,11,327,196,164,85,37,803,152,338
2008-04,791,16,318,194,152,80,32,782,139,334
2008-05,761,12,300,201,134,81,33,749,132,312
2008-06,770,35,315,176,132,79,33,756,176,350
2008-07,772,35,302,185,136,88,27,760,174,337
2008-08,769,22,293,199,145,88,24,757,146,314
2008-09,729,14,253,205,136,93,28,719,106,267
2008-10,743,9,279,210,133,88,24,735,109,288
2008-11,755,17,276,212,131,89,30,745,120,293
2008-12,793,39,287,192,142,102,31,784,160,325
2009-01,856,42,318,217,146,100,33,843,168,360
2009-02,933,24,350,234,165,113,46,911,157,375
2009-03,961,19,357,244,194,109,37,950,145,377
2009-04,939,17,332,253,180,117,41,927,135,349
2009-05,943,14,319,230,188,131,60,916,135,333
2009-06,966,40,334,236,168,131,56,943,166,374
2009-07,932,44,337,220,159,127,46,911,175,381
2009-08,907,23,328,225,171,117,44,886,143,350
2009-09,829,8,312,200,155,108,45,809,123,320
2009-10,804,13,299,200,152,100,39,786,115,312
2009-11,824,25,300,208,154,101,36,811,139,325
2009-12,838,31,293,205,154,110,46,821,148,324
2010-01,1218,57,353,234,191,171,212,1087,207,410
2010-02,1170,31,399,245,201,150,144,1076,189,430
2010-03,1007,23,355,232,194,125,79,971,159,378
2010-04,936,24,339,235,162,112,64,914,153,363
2010-05,798,18,257,212,153,101,57,780,113,275
2010-06,878,46,306,212,154,100,61,853,173,352
2010-07,936,37,338,212,162,122,66,903,169,375
2010-08,836,14,280,224,160,105,54,817,118,294
2010-09,864,14,283,214,183,115,56,844,112,297
2010-10,838,11,276,209,168,120,54,821,107,287
2010-11,745,14,253,186,142,103,47,729,97,267
2010-12,859,45,292,196,149,122,55,835,160,337
2011-01,924,49,317,216,144,120,77,889,184,366
2011-02,1104,32,329,254,185,138,166,986,171,362
2011-03,1079,27,371,250,179,144,108,1014,174,398
2011-04,944,19,350,240,156,110,70,914,149,369
2011-05,825,13,300,194,141,110,67,799,117,313
2011-06,848,30,293,208,144,104,69,821,160,323
2011-07,847,55,281,187,140,109,76,822,189,337
