변환,원자료
2004-01,6.29
2004-02,6.15
2004-03,5.98
2004-04,6.03
2004-05,6.01
2004-06,5.99
2004-07,5.93
2004-08,5.8
2004-09,5.63
2004-10,5.57
2004-11,5.47
2004-12,5.41
2005-01,5.45
2005-02,5.53
2005-03,5.48
2005-04,5.32
2005-05,5.15
2005-06,5.13
2005-07,5.18
2005-08,5.26
2005-09,5.36
2005-10,5.61
2005-11,5.59
2005-12,5.6
2006-01,5.64
2006-02,5.58
2006-03,5.46
2006-04,5.42
2006-05,5.41
2006-06,5.48
2006-07,5.79
2006-08,5.86
2006-09,5.77
2006-10,5.69
2006-11,5.69
2006-12,5.88
2007-01,6.11
2007-02,6.18
2007-03,6.2
2007-04,6.13
2007-05,6.17
2007-06,6.13
2007-07,6.24
2007-08,6.38
2007-09,6.52
2007-10,6.55
2007-11,6.59
2007-12,6.85
2008-01,7.08
2008-02,6.72
2008-03,6.7
2008-04,6.8
2008-05,6.79
2008-06,6.77
2008-07,6.92
2008-08,7.16
2008-09,7.25
2008-10,7.58
2008-11,7.42
2008-12,6.81
2009-01,5.63
2009-02,5.38
2009-03,5.43
2009-04,5.3
2009-05,5.25
2009-06,5.25
2009-07,5.29
2009-08,5.45
2009-09,5.77
2009-10,5.9
2009-11,5.87
2009-12,5.9
2010-01,5.88
2010-02,5.75
2010-03,5.47
2010-04,5.07
2010-05,4.78
2010-06,4.62
2010-07,4.7
2010-08,4.81
2010-09,4.8
2010-10,4.74
2010-11,4.65
2010-12,4.67
2011-01,4.8
2011-02,4.86
2011-03,4.89
2011-04,4.88
2011-05,4.9
2011-06,4.87
2011-07,4.9
2011-08,4.97
2011-09,5.0
2011-10,5.01
2011-11,5.01
2011-12,4.95
2012-01,5.06
2012-02,5.02
2012-03,5.0
2012-04,4.94
2012-05,4.85
2012-06,4.76
2012-07,4.64
2012-08,4.41
2012-09,4.29
2012-10,4.23
2012-11,4.19
2012-12,4.16
2013-01,4.17
2013-02,4.06
2013-03,3.97
2013-04,3.86
2013-05,3.77
2013-06,3.73
2013-07,3.77
2013-08,3.8
2013-09,3.82
2013-10,3.81
2013-11,3.77
2013-12,3.74
2014-01,3.75
2014-02,3.71
2014-03,3.69
2014-04,3.69
2014-05,3.63
2014-06,3.58
2014-07,3.53
2014-08,3.5
2014-09,3.5
2014-10,3.38
2014-11,3.3
2014-12,3.33
2015-01,3.34
2015-02,3.24
2015-03,2.97
2015-04,2.81
2015-05,3.06
2015-06,3.01
2015-07,2.96
2015-08,2.94
2015-09,2.92
2015-10,2.9
2015-11,3.04
2015-12,3.12
2016-01,3.1
2016-02,2.99
2016-03,2.97
2016-04,2.93
2016-05,2.89
2016-06,2.77
2016-07,2.66
2016-08,2.7
2016-09,2.8
2016-10,2.89
2016-11,3.04
2016-12,3.13
2017-01,3.16
2017-02,3.19
2017-03,3.21
2017-04,3.21
2017-05,3.26
2017-06,3.22
2017-07,3.28
2017-08,3.28
2017-09,3.24
2017-10,3.33
2017-11,3.39
2017-12,3.42
2018-01,3.47
2018-02,3.46
2018-03,3.45
2018-04,3.47
2018-05,3.49
2018-06,3.46
2018-07,3.44
2018-08,3.36
2018-09,3.29
2018-10,3.31
2018-11,3.28
2018-12,3.19
2019-01,3.12
2019-02,3.08
2019-03,3.04
2019-04,2.98
2019-05,2.93
2019-06,2.74
2019-07,2.64
2019-08,2.47
2019-09,2.51
2019-10,2.5
2019-11,2.45
2019-12,2.45
2020-01,2.51
2020-02,2.52
2020-03,2.48
2020-04,2.58
2020-05,2.52
2020-06,2.49
2020-07,2.45
2020-08,2.39
2020-09,2.44
2020-10,2.47
2020-11,2.56
2020-12,2.59
2021-01,2.63
2021-02,2.66
2021-03,2.73
2021-04,2.73
2021-05,2.69
2021-06,2.74
2021-07,2.81
2021-08,2.88
2021-09,3.01
2021-10,3.26
2021-11,3.51
2021-12,3.63
2022-01,3.85
2022-02,3.88
2022-03,3.84
2022-04,3.9
2022-05,3.9
2022-06,4.04
