,발행회차,발행일자,기준월,만기전상환율,가중평균발행금리,주택종합 매매가격지수,주택종합 전세가격지수,소비자물가지수,15-64 실업자 수,코스피 월별 종가,예금은행 대출금리
0,MBS 2004-01,2004-06-15,2004-06,0.51,5.04,52.743,51.435,72.119,794.0,785.79,5.99
1,MBS 2004-01,2004-06-15,2004-07,0.36,5.04,52.603,51.04,72.561,858.0,735.34,5.93
2,MBS 2004-02,2004-07-28,2004-07,0.18,5,52.603,51.04,72.561,858.0,735.34,5.93
3,MBS 2004-01,2004-06-15,2004-08,0.42,5.04,52.394,50.554,73.191,842.0,803.57,5.8
4,MBS 2004-02,2004-07-28,2004-08,0.39,5,52.394,50.554,73.191,842.0,803.57,5.8
5,MBS 2004-03,2004-08-18,2004-08,0.0,4.5,52.394,50.554,73.191,842.0,803.57,5.8
6,MBS 2004-01,2004-06-15,2004-09,0.29,5.04,52.283,50.314,73.191,784.0,835.09,5.63
7,MBS 2004-02,2004-07-28,2004-09,0.41,5,52.283,50.314,73.191,784.0,835.09,5.63
8,MBS 2004-03,2004-08-18,2004-09,0.44,4.5,52.283,50.314,73.191,784.0,835.09,5.63
9,MBS 2004-04,2004-09-23,2004-09,0.38,4.26,52.283,50.314,73.191,784.0,835.09,5.63
10,MBS 2004-01,2004-06-15,2004-10,0.42,5.04,52.157,50.09,73.191,801.0,834.84,5.57
11,MBS 2004-02,2004-07-28,2004-10,0.8,5,52.157,50.09,73.191,801.0,834.84,5.57
12,MBS 2004-03,2004-08-18,2004-10,0.56,4.5,52.157,50.09,73.191,801.0,834.84,5.57
13,MBS 2004-04,2004-09-23,2004-10,0.74,4.26,52.157,50.09,73.191,801.0,834.84,5.57
14,MBS 2004-05,2004-10-28,2004-10,0.02,4.2,52.157,50.09,73.191,801.0,834.84,5.57
15,MBS 2004-01,2004-06-15,2004-11,0.6,5.04,51.926,49.714,72.75,813.0,878.06,5.47
16,MBS 2004-02,2004-07-28,2004-11,0.49,5,51.926,49.714,72.75,813.0,878.06,5.47
17,MBS 2004-03,2004-08-18,2004-11,0.63,4.5,51.926,49.714,72.75,813.0,878.06,5.47
18,MBS 2004-04,2004-09-23,2004-11,0.04,4.26,51.926,49.714,72.75,813.0,878.06,5.47
19,MBS 2004-05,2004-10-28,2004-11,0.06,4.2,51.926,49.714,72.75,813.0,878.06,5.47
20,MBS 2004-06,2004-11-30,2004-11,0.33,4.09,51.926,49.714,72.75,813.0,878.06,5.47
21,MBS 2004-01,2004-06-15,2004-12,0.7,5.04,51.71,49.32,72.877,894.0,895.92,5.41
22,MBS 2004-02,2004-07-28,2004-12,0.64,5,51.71,49.32,72.877,894.0,895.92,5.41
23,MBS 2004-03,2004-08-18,2004-12,0.87,4.5,51.71,49.32,72.877,894.0,895.92,5.41
24,MBS 2004-04,2004-09-23,2004-12,0.8,4.26,51.71,49.32,72.877,894.0,895.92,5.41
25,MBS 2004-05,2004-10-28,2004-12,0.86,4.2,51.71,49.32,72.877,894.0,895.92,5.41
26,MBS 2004-06,2004-11-30,2004-12,0.48,4.09,51.71,49.32,72.877,894.0,895.92,5.41
27,MBS 2004-07,2004-12-28,2004-12,0.34,4.06,51.71,49.32,72.877,894.0,895.92,5.41
28,MBS 2004-01,2004-06-15,2005-01,0.91,5.04,51.567,49.086,73.594,979.0,932.7,5.45
29,MBS 2004-02,2004-07-28,2005-01,0.63,5,51.567,49.086,73.594,979.0,932.7,5.45
30,MBS 2004-03,2004-08-18,2005-01,0.77,4.5,51.567,49.086,73.594,979.0,932.7,5.45
31,MBS 2004-04,2004-09-23,2005-01,0.81,4.26,51.567,49.086,73.594,979.0,932.7,5.45
32,MBS 2004-05,2004-10-28,2005-01,0.65,4.2,51.567,49.086,73.594,979.0,932.7,5.45
