발행회차,발행일자,기준월,만기전상환율,가중평균발행금리,주택종합 매매가격지수,주택종합 전세가격지수,소비자물가지수,15-64 실업자 수,코스피 월별 종가,예금은행 대출금리,평균 LTV,평균 DTI,CD금리,인플레이션율
MBS 2004-01,2004-06-15,2004-06,0.51,5.04,52.743,51.435,72.119,794.0,785.79,5.99,60.66,34.53,3.91,0.0
MBS 2004-01,2004-06-15,2004-07,0.36,5.04,52.603,51.04,72.561,858.0,735.34,5.93,60.67,34.53,3.91,0.612875941152827
MBS 2004-01,2004-06-15,2004-08,0.42,5.04,52.394,50.554,73.191,842.0,803.57,5.8,60.67,34.53,3.7,0.8682350022739425
MBS 2004-01,2004-06-15,2004-09,0.29,5.04,52.283,50.314,73.191,784.0,835.09,5.63,60.68,34.55,3.52,0.0
MBS 2004-01,2004-06-15,2004-10,0.42,5.04,52.157,50.09,73.191,801.0,834.84,5.57,60.69,34.53,3.52,0.0
MBS 2004-01,2004-06-15,2004-11,0.6,5.04,51.926,49.714,72.75,813.0,878.06,5.47,60.7,34.53,3.42,-0.6025330983317655
MBS 2004-01,2004-06-15,2004-12,0.7,5.04,51.71,49.32,72.877,894.0,895.92,5.41,60.72,34.47,3.39,0.1745704467353888
MBS 2004-01,2004-06-15,2005-01,0.91,5.04,51.567,49.086,73.594,979.0,932.7,5.45,60.72,34.49,3.47,0.9838494998421982
MBS 2004-01,2004-06-15,2005-02,0.95,5.04,51.732,49.185,73.892,983.0,1011.36,5.53,60.74,34.43,3.59,0.4049243144821614
MBS 2004-01,2004-06-15,2005-03,1.27,5.04,51.93,49.404,74.338,949.0,965.68,5.48,60.75,34.4,3.55,0.6035836085097142
MBS 2004-01,2004-06-15,2005-04,1.9,5.04,52.229,49.582,74.413,896.0,911.3,5.32,60.77,34.37,3.52,0.1008905270521171
MBS 2004-01,2004-06-15,2005-05,2.52,5.04,52.512,49.638,74.338,840.0,970.21,5.15,60.8,34.32,3.51,-0.1007888406595659
MBS 2004-01,2004-06-15,2005-06,2.3,5.04,52.94,49.721,74.114,864.0,1008.16,5.13,60.84,34.22,3.51,-0.3013263741289644
MBS 2004-01,2004-06-15,2005-07,1.96,5.04,53.379,49.775,74.413,875.0,1111.29,5.18,60.9,34.1,3.51,0.4034325498556175
MBS 2004-01,2004-06-15,2005-08,1.75,5.04,53.573,49.874,74.636,832.0,1083.33,5.26,60.91,34.08,3.5,0.2996788195610968
MBS 2004-01,2004-06-15,2005-09,1.97,5.04,53.702,50.277,75.008,858.0,1221.01,5.36,60.89,34.05,3.7,0.4984189935151936
MBS 2004-01,2004-06-15,2005-10,1.36,5.04,53.685,50.619,74.859,861.0,1158.11,5.61,60.88,34.02,3.93,-0.1986454778157008
MBS 2004-01,2004-06-15,2005-11,1.63,5.04,53.682,50.738,74.561,775.0,1297.44,5.59,60.9,33.93,3.96,-0.3980817269800393
MBS 2004-01,2004-06-15,2005-12,1.55,5.04,53.785,50.818,74.785,823.0,1379.37,5.6,60.91,33.85,4.04,0.3004251552420025
MBS 2004-01,2004-06-15,2006-01,1.26,5.04,53.964,51.002,75.231,867.0,1399.83,5.64,60.92,33.76,4.15,0.5963762786655051
MBS 2004-01,2004-06-15,2006-02,1.87,5.04,54.208,51.222,75.381,947.0,1371.59,5.58,60.94,33.7,4.25,0.1993858914543282
MBS 2004-01,2004-06-15,2006-03,1.98,5.04,54.556,51.606,75.827,922.0,1359.6,5.46,60.92,33.55,4.27,0.5916610286411668
MBS 2004-01,2004-06-15,2006-04,2.47,5.04,55.038,51.897,75.902,843.0,1419.73,5.42,60.93,33.45,4.33,0.0989093594629918
MBS 2004-01,2004-06-15,2006-05,2.56,5.04,55.6,52.082,76.05,774.0,1317.7,5.41,60.97,33.25,4.36,0.1949882743537668
MBS 2004-01,2004-06-15,2006-06,2.5,5.04,55.866,52.141,75.902,808.0,1295.15,5.48,60.97,33.12,4.47,-0.1946088099934202
MBS 2004-01,2004-06-15,2006-07,1.8,5.04,55.986,52.171,76.199,821.0,1297.82,5.79,60.97,33.12,4.63,0.3912940370477683
MBS 2004-01,2004-06-15,2006-08,1.55,5.04,56.121,52.273,76.645,808.0,1352.74,5.86,60.94,33.1,4.68,0.5853095184976154
MBS 2004-01,2004-06-15,2006-09,1.86,5.04,56.392,52.714,76.868,769.0,1371.41,5.77,60.94,33.07,4.64,0.290951790723464
MBS 2004-01,2004-06-15,2006-10,2.57,5.04,57.151,53.264,76.496,796.0,1364.55,5.69,60.92,33.02,4.57,-0.4839465056980797
MBS 2004-01,2004-06-15,2006-11,3.21,5.04,58.925,53.804,76.125,771.0,1432.21,5.69,60.9,32.99,4.6,-0.484992679355777
MBS 2004-01,2004-06-15,2006-12,2.86,5.04,60.024,54.11,76.348,788.0,1434.46,5.88,60.86,32.92,4.76,0.2929392446633813
MBS 2004-01,2004-06-15,2007-01,1.8,5.04,60.548,54.343,76.496,853.0,1360.23,6.11,60.85,32.87,4.92,0.1938492167443759
MBS 2004-01,2004-06-15,2007-02,1.69,5.04,60.768,54.505,77.017,856.0,1417.34,6.18,60.82,32.83,4.95,0.681081363731438
MBS 2004-01,2004-06-15,2007-03,1.18,5.04,60.88,54.727,77.464,833.0,1452.55,6.2,60.83,32.8,4.94,0.5803913421712126
MBS 2004-01,2004-06-15,2007-04,2.12,5.04,60.959,54.921,77.761,814.0,1542.24,6.13,60.8,32.7,4.95,0.3834039037488344
MBS 2004-01,2004-06-15,2007-05,2.53,5.04,60.979,54.954,77.836,773.0,1700.91,6.17,60.76,32.68,5.04,0.0964493769370286
MBS 2004-01,2004-06-15,2007-06,2.3,5.04,61.062,54.962,77.836,774.0,1743.6,6.13,60.74,32.65,5.03,0.0
MBS 2004-01,2004-06-15,2007-07,1.95,5.04,61.221,55.013,78.134,793.0,1933.27,6.24,60.69,32.6,5.05,0.3828562618839635
MBS 2004-01,2004-06-15,2007-08,1.63,5.04,61.336,55.081,78.208,760.0,1873.24,6.38,60.68,32.56,5.21,0.0947090895128856
