,index,주택종합 매매가격지수
0,1986-01,27.682
1,1986-02,27.682
2,1986-03,27.724
3,1986-04,27.516
4,1986-05,27.392
5,1986-06,27.268
6,1986-07,27.185
7,1986-08,27.185
8,1986-09,27.185
9,1986-10,27.185
10,1986-11,27.019
11,1986-12,26.936
12,1987-01,26.895
13,1987-02,26.853
14,1987-03,26.812
15,1987-04,26.853
16,1987-05,26.853
17,1987-06,26.853
18,1987-07,26.895
19,1987-08,27.019
20,1987-09,28.055
21,1987-10,28.47
22,1987-11,28.801
23,1987-12,28.842
24,1988-01,29.215
25,1988-02,29.92
26,1988-03,30.666
27,1988-04,31.287
28,1988-05,31.578
29,1988-06,31.826
30,1988-07,32.158
31,1988-08,32.945
32,1988-09,32.862
33,1988-10,32.821
34,1988-11,32.572
35,1988-12,32.655
36,1989-01,33.028
37,1989-02,34.064
38,1989-03,35.017
39,1989-04,36.468
40,1989-05,36.758
41,1989-06,36.84
42,1989-07,36.758
43,1989-08,36.758
44,1989-09,36.84
45,1989-10,37.048
46,1989-11,37.255
47,1989-12,37.421
48,1990-01,37.752
49,1990-02,39.617
50,1990-03,40.529
51,1990-04,41.813
52,1990-05,42.269
53,1990-06,42.393
54,1990-07,42.518
55,1990-08,42.849
56,1990-09,43.968
57,1990-10,44.548
58,1990-11,45.129
59,1990-12,45.294
60,1991-01,45.543
61,1991-02,46.123
62,1991-03,46.869
63,1991-04,47.905
64,1991-05,47.864
65,1991-06,47.656
66,1991-07,47.449
67,1991-08,47.242
68,1991-09,47.076
69,1991-10,46.745
70,1991-11,45.792
71,1991-12,45.046
72,1992-01,44.838
73,1992-02,44.756
74,1992-03,44.631
75,1992-04,44.383
76,1992-05,43.885
77,1992-06,43.388
78,1992-07,43.057
79,1992-08,43.098
80,1992-09,43.429
81,1992-10,43.347
82,1992-11,43.098
83,1992-12,42.808
84,1993-01,42.725
85,1993-02,42.891
86,1993-03,42.891
87,1993-04,42.725
88,1993-05,42.476
89,1993-06,42.228
90,1993-07,42.021
91,1993-08,41.896
92,1993-09,41.813
93,1993-10,41.772
94,1993-11,41.648
95,1993-12,41.565
96,1994-01,41.565
97,1994-02,41.606
98,1994-03,41.606
99,1994-04,41.565
100,1994-05,41.523
101,1994-06,41.482
102,1994-07,41.44
103,1994-08,41.482
104,1994-09,41.565
105,1994-10,41.565
106,1994-11,41.523
107,1994-12,41.523
108,1995-01,41.482
109,1995-02,41.482
110,1995-03,41.523
111,1995-04,41.523
112,1995-05,41.482
113,1995-06,41.482
114,1995-07,41.44
115,1995-08,41.44
116,1995-09,41.482
117,1995-10,41.482
118,1995-11,41.44
119,1995-12,41.44
120,1996-01,41.482
121,1996-02,41.565
122,1996-03,41.689
123,1996-04,41.73
124,1996-05,41.73
125,1996-06,41.689
126,1996-07,41.689
127,1996-08,41.73
128,1996-09,41.896
129,1996-10,41.979
130,1996-11,42.021
131,1996-12,42.062
132,1997-01,42.518
133,1997-02,42.891
134,1997-03,43.057
135,1997-04,43.098
136,1997-05,43.057
137,1997-06,43.057
138,1997-07,43.015
139,1997-08,43.057
140,1997-09,43.181
141,1997-10,43.181
142,1997-11,43.098
143,1997-12,42.891
144,1998-01,42.559
145,1998-02,42.021
146,1998-03,40.86
147,1998-04,39.7
148,1998-05,38.747
149,1998-06,38.167
150,1998-07,38.001
151,1998-08,38.042
152,1998-09,37.876
153,1998-10,37.586
154,1998-11,37.462
155,1998-12,37.586
156,1999-01,38.042
157,1999-02,38.125
158,1999-03,38.249
159,1999-04,38.291
160,1999-05,38.374
161,1999-06,38.374
162,1999-07,38.498
163,1999-08,38.747
164,1999-09,39.037
165,1999-10,39.078
166,1999-11,38.954
167,1999-12,38.871
168,2000-01,38.995
169,2000-02,39.161
170,2000-03,39.327
171,2000-04,39.368
172,2000-05,39.327
173,2000-06,39.203
174,2000-07,39.203
175,2000-08,39.285
176,2000-09,39.368
177,2000-10,39.41
178,2000-11,39.285
179,2000-12,39.037
180,2001-01,38.995
181,2001-02,39.12
182,2001-03,39.368
183,2001-04,39.617
184,2001-05,39.907
185,2001-06,40.239
186,2001-07,40.736
187,2001-08,41.523
188,2001-09,42.186
189,2001-10,42.393
190,2001-11,42.559
191,2001-12,42.891
192,2002-01,44.01
193,2002-02,45.129
194,2002-03,46.165
195,2002-04,46.62
196,2002-05,46.91
197,2002-06,47.118
198,2002-07,47.574
199,2002-08,48.402
200,2002-09,49.563
201,2002-10,49.811
202,2002-11,49.853
203,2002-12,49.936
204,2003-01,49.894
205,2003-02,50.143
206,2003-03,50.516
207,2003-04,50.972
208,2003-05,51.8
209,2003-06,52.173
210,2003-07,52.289
211,2003-08,52.462
212,2003-09,52.904
213,2003-10,53.432
214,2003-11,53.241
215,2003-12,52.801
216,2004-01,52.586
217,2004-02,52.693
218,2004-03,52.8
219,2004-04,52.888
220,2004-05,52.879
221,2004-06,52.743
222,2004-07,52.603
223,2004-08,52.394
224,2004-09,52.283
225,2004-10,52.157
226,2004-11,51.926
227,2004-12,51.71
228,2005-01,51.567
229,2005-02,51.732
230,2005-03,51.93
231,2005-04,52.229
232,2005-05,52.512
233,2005-06,52.94
234,2005-07,53.379
235,2005-08,53.573
236,2005-09,53.702
237,2005-10,53.685
238,2005-11,53.682
239,2005-12,53.785
240,2006-01,53.964
241,2006-02,54.208
242,2006-03,54.556
243,2006-04,55.038
244,2006-05,55.6
245,2006-06,55.866
246,2006-07,55.986
247,2006-08,56.121
248,2006-09,56.392
249,2006-10,57.151
250,2006-11,58.925
251,2006-12,60.024
252,2007-01,60.548
253,2007-02,60.768
254,2007-03,60.88
255,2007-04,60.959
256,2007-05,60.979
257,2007-06,61.062
258,2007-07,61.221
259,2007-08,61.336
260,2007-09,61.498
261,2007-10,61.656
262,2007-11,61.823
263,2007-12,61.91
264,2008-01,62.08
265,2008-02,62.271
266,2008-03,62.746
267,2008-04,63.294
268,2008-05,63.679
269,2008-06,64.064
270,2008-07,64.314
271,2008-08,64.442
272,2008-09,64.591
273,2008-10,64.557
274,2008-11,64.297
275,2008-12,63.833
276,2009-01,63.479
277,2009-02,63.32
278,2009-03,63.209
279,2009-04,63.247
280,2009-05,63.315
281,2009-06,63.438
282,2009-07,63.611
283,2009-08,63.812
284,2009-09,64.268
285,2009-10,64.512
286,2009-11,64.676
287,2009-12,64.768
288,2010-01,64.851
289,2010-02,65.04
290,2010-03,65.201
291,2010-04,65.327
292,2010-05,65.358
293,2010-06,65.365
294,2010-07,65.303
295,2010-08,65.271
296,2010-09,65.333
297,2010-10,65.469
298,2010-11,65.721
299,2010-12,65.991
300,2011-01,66.3
301,2011-02,66.83
302,2011-03,67.482
303,2011-04,68.037
304,2011-05,68.511
305,2011-06,68.848
306,2011-07,69.129
307,2011-08,69.47
308,2011-09,69.848
309,2011-10,70.126
310,2011-11,70.403
311,2011-12,70.521
312,2012-01,70.631
313,2012-02,70.749
314,2012-03,70.856
315,2012-04,70.932
316,2012-05,70.967
317,2012-06,70.941
318,2012-07,70.861
319,2012-08,70.79
320,2012-09,70.683
321,2012-10,70.603
322,2012-11,70.55
323,2012-12,70.501
324,2013-01,70.462
325,2013-02,70.421
326,2013-03,70.389
327,2013-04,70.391
328,2013-05,70.381
329,2013-06,70.353
330,2013-07,70.351
331,2013-08,70.323
332,2013-09,70.36
333,2013-10,70.503
334,2013-11,70.626
335,2013-12,70.762
336,2014-01,70.842
337,2014-02,70.957
338,2014-03,71.157
339,2014-04,71.304
340,2014-05,71.351
341,2014-06,71.401
342,2014-07,71.466
343,2014-08,71.562
344,2014-09,71.758
345,2014-10,71.97
346,2014-11,72.116
347,2014-12,72.249
348,2015-01,72.345
349,2015-02,72.509
350,2015-03,72.809
351,2015-04,73.169
352,2015-05,73.441
353,2015-06,73.778
354,2015-07,74.092
355,2015-08,74.381
356,2015-09,74.731
357,2015-10,74.984
358,2015-11,75.304
359,2015-12,75.441
360,2016-01,75.504
361,2016-02,75.558
362,2016-03,75.584
363,2016-04,75.615
364,2016-05,75.665
365,2016-06,75.734
366,2016-07,75.832
367,2016-08,75.927
368,2016-09,76.031
369,2016-10,76.215
370,2016-11,76.407
371,2016-12,76.463
372,2017-01,76.481
373,2017-02,76.489
374,2017-03,76.509
375,2017-04,76.538
376,2017-05,76.578
377,2017-06,76.711
378,2017-07,76.891
379,2017-08,77.074
380,2017-09,77.139
381,2017-10,77.226
382,2017-11,77.332
383,2017-12,77.411
384,2018-01,77.556
385,2018-02,77.723
386,2018-03,77.917
387,2018-04,78.049
388,2018-05,78.127
389,2018-06,78.203
390,2018-07,78.293
391,2018-08,78.46
392,2018-09,79.232
393,2018-10,79.677
394,2018-11,79.799
395,2018-12,79.861
396,2019-01,79.877
397,2019-02,79.824
398,2019-03,79.74
399,2019-04,79.63
400,2019-05,79.577
401,2019-06,79.508
402,2019-07,79.502
403,2019-08,79.546
404,2019-09,79.589
405,2019-10,79.664
406,2019-11,79.776
407,2019-12,80.054
408,2020-01,80.337
409,2020-02,80.634
410,2020-03,81.084
411,2020-04,81.27
412,2020-05,81.382
413,2020-06,81.776
414,2020-07,82.495
415,2020-08,83.137
416,2020-09,83.798
417,2020-10,84.359
418,2020-11,85.568
419,2020-12,86.735
420,2021-01,87.767
421,2021-02,88.962
422,2021-03,90.135
423,2021-04,91.091
424,2021-05,91.964
425,2021-06,93.169
426,2021-07,94.256
427,2021-08,95.666
428,2021-09,97.123
429,2021-10,98.14
430,2021-11,99.224
431,2021-12,99.72
432,2022-01,100
433,2022-02,100.207
434,2022-03,100.306
435,2022-04,100.517
436,2022-05,100.768
437,2022-06,100.869
438,2022-07,100.869
