,index,주택종합 전세가격지수
0,1986-01,15.133
1,1986-02,15.35
2,1986-03,15.711
3,1986-04,16.036
4,1986-05,16.072
5,1986-06,16.036
6,1986-07,16
7,1986-08,16.036
8,1986-09,16.289
9,1986-10,16.397
10,1986-11,16.145
11,1986-12,16
12,1987-01,15.928
13,1987-02,16.181
14,1987-03,16.65
15,1987-04,17.12
16,1987-05,17.228
17,1987-06,17.373
18,1987-07,17.409
19,1987-08,17.481
20,1987-09,18.348
21,1987-10,18.709
22,1987-11,19.07
23,1987-12,19.106
24,1988-01,19.323
25,1988-02,19.937
26,1988-03,20.876
27,1988-04,21.562
28,1988-05,21.707
29,1988-06,21.851
30,1988-07,21.887
31,1988-08,22.285
32,1988-09,22.357
33,1988-10,22.212
34,1988-11,21.887
35,1988-12,21.634
36,1989-01,21.851
37,1989-02,22.537
38,1989-03,23.332
39,1989-04,24.307
40,1989-05,24.524
41,1989-06,24.416
42,1989-07,24.343
43,1989-08,24.416
44,1989-09,24.993
45,1989-10,25.427
46,1989-11,25.463
47,1989-12,25.427
48,1990-01,26.077
49,1990-02,29.183
50,1990-03,29.869
51,1990-04,30.556
52,1990-05,30.267
53,1990-06,29.905
54,1990-07,29.725
55,1990-08,29.869
56,1990-09,30.23
57,1990-10,30.375
58,1990-11,30.375
59,1990-12,29.689
60,1991-01,29.689
61,1991-02,30.267
62,1991-03,31.097
63,1991-04,31.82
64,1991-05,31.531
65,1991-06,31.025
66,1991-07,30.736
67,1991-08,30.628
68,1991-09,30.844
69,1991-10,31.025
70,1991-11,30.7
71,1991-12,30.267
72,1992-01,30.303
73,1992-02,30.628
74,1992-03,31.711
75,1992-04,32.289
76,1992-05,32.542
77,1992-06,32.361
78,1992-07,32.253
79,1992-08,32.506
80,1992-09,32.975
81,1992-10,33.048
82,1992-11,32.867
83,1992-12,32.542
84,1993-01,32.542
85,1993-02,33.012
86,1993-03,33.553
87,1993-04,33.662
88,1993-05,33.517
89,1993-06,33.264
90,1993-07,33.156
91,1993-08,33.156
92,1993-09,33.264
93,1993-10,33.409
94,1993-11,33.373
95,1993-12,33.337
96,1994-01,33.373
97,1994-02,33.553
98,1994-03,33.914
99,1994-04,34.059
100,1994-05,34.131
101,1994-06,34.203
102,1994-07,34.203
103,1994-08,34.348
104,1994-09,34.709
105,1994-10,34.854
106,1994-11,34.854
107,1994-12,34.854
108,1995-01,34.89
109,1995-02,35.215
110,1995-03,35.684
111,1995-04,35.901
112,1995-05,35.865
113,1995-06,35.865
114,1995-07,35.829
115,1995-08,35.865
116,1995-09,36.082
117,1995-10,36.19
118,1995-11,36.19
119,1995-12,36.118
120,1996-01,36.262
121,1996-02,36.696
122,1996-03,37.273
123,1996-04,37.49
124,1996-05,37.526
125,1996-06,37.526
126,1996-07,37.526
127,1996-08,37.815
128,1996-09,38.393
129,1996-10,38.574
130,1996-11,38.574
131,1996-12,38.465
132,1997-01,38.718
133,1997-02,39.115
134,1997-03,39.44
135,1997-04,39.477
136,1997-05,39.368
137,1997-06,39.26
138,1997-07,39.224
139,1997-08,39.224
140,1997-09,39.368
141,1997-10,39.332
142,1997-11,39.115
143,1997-12,38.79
144,1998-01,38.393
145,1998-02,37.454
146,1998-03,35.937
147,1998-04,33.951
148,1998-05,32.614
149,1998-06,31.892
150,1998-07,31.675
151,1998-08,31.928
152,1998-09,32
153,1998-10,31.711
154,1998-11,31.531
155,1998-12,31.639
156,1999-01,32.289
157,1999-02,33.192
158,1999-03,33.842
159,1999-04,34.312
160,1999-05,34.673
161,1999-06,34.89
162,1999-07,35.179
163,1999-08,35.756
164,1999-09,36.623
165,1999-10,36.984
166,1999-11,36.984
167,1999-12,36.948
168,2000-01,37.418
169,2000-02,38.501
170,2000-03,39.368
171,2000-04,39.874
172,2000-05,39.91
173,2000-06,39.838
174,2000-07,39.91
175,2000-08,40.488
176,2000-09,41.246
177,2000-10,41.68
178,2000-11,41.535
179,2000-12,41.066
180,2001-01,41.102
181,2001-02,42.077
182,2001-03,43.088
183,2001-04,43.63
184,2001-05,44.064
185,2001-06,44.461
186,2001-07,45.147
187,2001-08,46.267
188,2001-09,47.314
189,2001-10,47.675
190,2001-11,47.675
191,2001-12,47.82
192,2002-01,48.831
193,2002-02,50.204
194,2002-03,51.323
195,2002-04,51.973
196,2002-05,52.154
197,2002-06,52.154
198,2002-07,52.334
199,2002-08,52.876
200,2002-09,53.526
201,2002-10,53.454
202,2002-11,52.948
203,2002-12,52.66
204,2003-01,52.623
205,2003-02,53.021
206,2003-03,53.418
207,2003-04,53.454
208,2003-05,53.346
209,2003-06,53.021
210,2003-07,52.737
211,2003-08,52.669
212,2003-09,52.85
213,2003-10,52.885
214,2003-11,52.525
215,2003-12,51.906
216,2004-01,51.66
217,2004-02,51.773
218,2004-03,51.959
219,2004-04,51.994
220,2004-05,51.869
221,2004-06,51.435
222,2004-07,51.04
223,2004-08,50.554
224,2004-09,50.314
225,2004-10,50.09
226,2004-11,49.714
227,2004-12,49.32
228,2005-01,49.086
229,2005-02,49.185
230,2005-03,49.404
231,2005-04,49.582
232,2005-05,49.638
233,2005-06,49.721
234,2005-07,49.775
235,2005-08,49.874
236,2005-09,50.277
237,2005-10,50.619
238,2005-11,50.738
239,2005-12,50.818
240,2006-01,51.002
241,2006-02,51.222
242,2006-03,51.606
243,2006-04,51.897
244,2006-05,52.082
245,2006-06,52.141
246,2006-07,52.171
247,2006-08,52.273
248,2006-09,52.714
249,2006-10,53.264
250,2006-11,53.804
251,2006-12,54.11
252,2007-01,54.343
253,2007-02,54.505
254,2007-03,54.727
255,2007-04,54.921
256,2007-05,54.954
257,2007-06,54.962
258,2007-07,55.013
259,2007-08,55.081
260,2007-09,55.247
261,2007-10,55.376
262,2007-11,55.454
263,2007-12,55.491
264,2008-01,55.577
265,2008-02,55.732
266,2008-03,56.091
267,2008-04,56.415
268,2008-05,56.576
269,2008-06,56.758
270,2008-07,56.882
271,2008-08,56.973
272,2008-09,57.184
273,2008-10,57.258
274,2008-11,57.066
275,2008-12,56.424
276,2009-01,55.893
277,2009-02,55.769
278,2009-03,55.816
279,2009-04,55.911
280,2009-05,56.025
281,2009-06,56.175
282,2009-07,56.366
283,2009-08,56.637
284,2009-09,57.444
285,2009-10,57.859
286,2009-11,58.186
287,2009-12,58.336
288,2010-01,58.508
289,2010-02,58.872
290,2010-03,59.271
291,2010-04,59.643
292,2010-05,59.886
293,2010-06,60.123
294,2010-07,60.282
295,2010-08,60.499
296,2010-09,60.887
297,2010-10,61.397
298,2010-11,62.036
299,2010-12,62.492
300,2011-01,63.026
301,2011-02,64.046
302,2011-03,65.164
303,2011-04,65.947
304,2011-05,66.492
305,2011-06,66.926
